,Sentences_from,Sentences_to,Translated_sentences,BLEU
0,"* 4 grudnia – prezydent USA Woodrow Wilson wyruszył w podróż morską do Europy na Paryską Konferencję Pokojową, była to pierwsza podróż urzędującego prezydenta Stanów Zjednoczonych do Europy.","* December 4 – President Woodrow Wilson departs by ship to the Paris Peace Conference, becoming the first United States President to travel to any foreign country while holding office.","* december 4 - us president woodrow wilson set off on a sea trip to europe for the paris peace conference, it was the first trip of the incumbent president of the united states to europe.",0.136
1,"1937)** Dody Goodman, amerykańska aktorka (ur.","1937)* 2008 – Dody Goodman, American actress (b.","1937) ** dody goodman, american actress (b.",0.541
2,"Uwieńczeniem współpracy Melvins z Jello Biafrą, wokalistą grupy Dead Kennedys, było wydanie dwóch albumów ""Never Breathe What You Can't See"" (2004) oraz ""Sieg Howdy!W dniu 3 lipca 2008 roku Harmon zmarł w swoim domu w Los Angeles na niewydolność serca.Do najważniejszych prac Sedgwick należą ""Between Men: English Literature and Male Homosocial Desire"" (1985) oraz ""Epistemology of the Closet"" (1990).Finally We Are No One – drugi studyjny album islandzkiej grupy múm.","===Mid 2000s – present===In 2004 Melvins collaborated with ambient artist Lustmord for ""Pigs of the Roman Empire"" and with Dead Kennedys singer Jello Biafra for ""Never Breathe What You Can't See"" and ""Sieg Howdy!==Death ==On July 3, 2008 Harmon died in his home of congestive heart failure in Los Angeles, California.===""Between Men: English Literature and Male Homosocial Desire"" (1985)===Sedgwick summed up her basic argument in ""Between Men"" in ""Epistemology of the Closet"", a later work.Finally We Are No One is an album by the Icelandic group múm.","the culmination of melvins&#39; collaboration with jello biafra, the vocalist of the dead kennedys group, was the release of two albums &quot;never breathe what you can&#39;t see&quot; (2004) and &quot;sieg howdy! on july 3, 2008, harmon died at his home in los angeles of failure. the most important works by sedgwick include &quot;between men: english literature and male homosocial desire&quot; (1985) and &quot;epistemology of the closet&quot; (1990) .finally we are no one - the second studio album of the icelandic group múm.",0.219
3,"W roku 1967 wygrali pięć z sześciu wyścigów, a w roku 1968 cztery z sześciu.","In 1967 they won five of six races and in 1968, four of six.",in 1967 they won five out of six races and in 1968 four out of six.,0.646
4,"W 1931 założony nowy Bist Sport, który 2 lata później zmienił nazwę na Sportkring Westerlo.",The club Bist Sport was created in 1931 and it changed its name to Sportkring Westerlo two years later.,"in 1931, the new bist sport was founded, which two years later changed its name to sportkring westerlo.",0.413
5,"Od roku 1999 praca jest własnością ""Dia Art Foundation"" z Nowego Jorku.27 kwietnia 1950 w Jamshedpur w Indiach) – niemiecki pianista.""The Sketch Book of Geoffrey Crayon, Gent.Jest także prezenterem telewizyjnym i autorem nagradzanych książek na temat biologii - szczególnie ewolucyjnej.","The Dia Art Foundation is currently seeking a new lease from the state.Christian Zacharias (born 1950 in Jamshedpur) is a German pianist and conductor.""The Sketch Book of Geoffrey Crayon, Gent.He is also a television presenter and a prize-winning author on the subject of biology, especially evolution.","since 1999, the work has been the property of the &quot;dia art foundation&quot; of new york. april 27, 1950 in jamshedpur, india) - german pianist. &quot;the sketch book of geoffrey crayon, gent. he is also a tv presenter and author of award-winning books on biology - especially evolutionary.",0.163
6,Jednakże bez względu na dokładną liczbę gatunków storczykowatych – jest ich dwa razy więcej od liczby gatunków ptaków oraz cztery razy więcej od liczby gatunków ssaków.,"Regardless, the number of orchid species nearly equals the number of bony fishes and more than twice the number of bird species, and about four times the number of mammal species.","however, regardless of the exact number of orchid species - there are twice as many as the number of bird species and four times as many as the number of mammal species.",0.374
7,"== Sąsiednie gminy ==Grodzisk Wielkopolski, Kuślin, Lwówek, Miedzichowo, Opalenica, Siedlec, Zbąszyń== Linki zewnętrzne ==== Demografia ==Dane z 30 czerwca 2004:== Struktury wyznaniowe ==== Sołectwa ==Chronów, Kobyle, Kopaliny, Królówka, Leksandrowa, Łomna, Muchówka, Olchawa, Połom Duży, Stary Wiśnicz, Wiśnicz Mały.","==Neighbouring gminas==Gmina Nowy Tomyśl is bordered by the gminas of Grodzisk Wielkopolski, Kuślin, Lwówek, Miedzichowo, Opalenica, Rakoniewice, Siedlec and Zbąszyń.==Villages==Apart from the town of Nowy Wiśnicz, Gmina Nowy Wiśnicz contains the villages and settlements of Chronów, Kobyle, Kopaliny, Królówka, Leksandrowa, Łomna, Muchówka, Olchawa, Połom Duży, Stary Wiśnicz and Wiśnicz Mały.","== neighboring communes == grodzisk wielkopolski, kuślin, lwówek, miedzichowo, opalenica, siedlec, zbąszyń == external links ==== demographics == data from june 30, 2004: == religious structures ==== sołectwa == chronów, kobyle, kopaliny, królówka, leksandrowa, łomna, muchówka, olchawa, połom duży, stary wiśnicz, wiśnicz mały.",0.327
8,"Przedstawił się jako Frank Howard, farmer z Farmingdale w stanie Nowy Jork.","He introduced himself as Frank Howard, a farmer from Farmingdale, New York.","he introduced himself as frank howard, a farmer from farmingdale, new york.",1.0
9,"1945)* 20 sierpnia - Fred Hoyle, angielski astronom, matematyk (ur.","1912)* August 20 – Fred Hoyle, British astronomer and writer (b.","1945) * august 20 - fred hoyle, english astronomer, mathematician (b.",0.0
